Estado,PROG,DECL_VAR,CONST,FUNCOES,FUNCAO,MAIN,TIPO,NUM,NUM_INT,NUM_FLOAT,CMDS,CMD,IF,WHILE,FOR,ATR,ATR_FOR,INC,CH_FUNC,EXPR_MAT,TESTE,EXPR_REL,OP_REL,OP_LOG,OP_ART,main,if,while,for,else,+,-,id,const,=,;,(,),{,},string,return,$
0,e1,e2,,,,,e3,,,,,,,,,,,,,,,,,,,r3,r3,r3,r3,,,,r3,r3,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ac
2,,,e4,,,,r5,,,,,,,,,,,,,,,,,,,r5,,,,,,,,e5,,,,,,,,,
3,,,,,,,r3,,,,,,,,,,,,,,,,,,,r3,r3,r3,r3,,,,e6,r3,,,,,,,,,
4,,,,e7,e8,,e9,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e10,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e11,,,,,,,
7,,,,,,e12,,,,,,,,,,,,,,,,,,,,e13,,,,,,,,,,,,,,,,,
8,,,,e14,e8,,e9,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e15,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e16,,,,,,,,
11,,e17,,,,,e3,,,,,,,,,,,,,,,,,,,r3,r3,r3,r3,,,,r3,r3,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e18,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e19,,,,,,
16,,,,,,,,e20,e110,e111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,r2,,,,,,,,,,,,,,,,,,,r2,r2,r2,r2,,,,r2,r2,,,,,,,,,
18,,e21,,,,,e3,,,,,,,,,,,,,,,,,,,r3,r3,r3,r3,,,,r3,r3,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e22,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e23,,,,,,,
21,,,,,,,,,,,e24,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e36,,,,
23,,,e37,,,,r5,,,,,,,,,,,,,,,,,,,r5,,,,,,,,e5,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e38,,,
25,,,,,,,,,,,e39,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,r12,r12,,,,r12,,,,,,,r12,,r12,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,r13,r13,,,,r13,,,,,,,r13,,r13,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,r14,r14,,,,r14,,,,,,,r14,,r14,
